team,warner_score
"Oglethorpe",3577
"Ohio",3679
"Ohio Dominican",3847
"Ohio St.",3770
"Okla. Baptist",3574
"Oklahoma",2833
"Oklahoma St.",3512
"Old Dominion",3812
"Old Westbury",3477
"Ole Miss",3760
"Omaha",3370
"Oral Roberts",3586
"Oregon",3604
"Oregon St.",3809
"Ottawa (AZ)",3800
"Ouachita Baptist",3532
"Our Lady of the Lake",3714
"Ozark Christian",3538
"Pacific",3879
"Pacific Lutheran",3883
"Paine",3770
"Paul Quinn",3740
"Penn",3827
"Penn St.",3886
"Penn St.-Gr Allegheny",3708
"Penn St.-New Kens.",2796
"Penn St.-Wilkes Barre",3742
"Penn St.-York",3884
"Pepperdine",2587
"Peru St.",3863
"Pfeiffer",3635
"Philander Smith",3330
"Piedmont",3839
"Pitt.-Greensburg",3885
"Pittsburgh",3550
"Portland",3582
"Portland Bible",3203
"Portland St.",3286
"Prairie View",3503
"Presbyterian",3647
"Princeton",3941
"Providence",3447
"Puget Sound",3868
"Purchase",3826
"Purdue",3899
"Purdue Fort Wayne",3682
"Purdue Northwest",3453
"Queens (NC)",3799
"Quinnipiac",2998
"Radford",3647
"Randolph",3105
"Regent",3897
"Reinhardt",3477
"Rhode Island",3801
"Rhodes",3770
"Rice",3667
"Richmond",3317
"Rider",3540
"Robert Morris",3920
"Rochester Univ. (MI)",579
"Rockford",2382
"Rogers St.",3575
"Rust",3336
"Rutgers",3906
"S'western Adventist",3699
"SFA",3803
"SIUE",3689
"SMU",3913
"SUNY Canton",169
"SUNY Delhi",3877
"SUNY Maritime",3727
"SUNY Oneonta",3869
"Sacramento St.",3475
"Sacred Heart",3550
"Saint Augustine's",3840
"Saint Elizabeth",3782
"Saint Francis (PA)",3483
"Saint Joseph's",3800
"Saint Louis",3575
"Saint Martin's",3450
"Saint Mary's (CA)",3108
"Saint Peter's",3524
"Saint Vincent",3453
"Sam Houston",3786
"Samford",3934
"San Diego",3913
"San Diego Christian",3884
"San Diego St.",3824
"San Fran. St.",3555
"San Francisco",3442
"San Jose St.",3914
"Santa Clara",3648
"Sarah Lawrence",3738
"Schreiner",3039
"Science & Arts Okla.",3790
"Seattle U",3919
"Seton Hall",3570
"Shorter",3448
"Siena",2542
"Simon Fraser",3884
"Sonoma St.",3891
"South Alabama",3525
"South Carolina",3541
"South Carolina St.",3118
"South Dakota",3386
"South Dakota St.",3581
"South Fla.",2963
"Southeast Mo. St.",2517
"Southeastern La.",3697
"Southern California",3915
"Southern Ill.",3112
"Southern Ind.",3519
"Southern Miss.",3809
"Southern Nazarene",3500
"Southern U.",3382
"Southern Utah",3321
"Southern-N.O.",3506
"Southwestern (TX)",3757
"Southwestern Christ.",3741
"Spalding",3654
"Spring Hill",3915
"St. Ambrose",3654
"St. Andrews",3495
"St. Bonaventure",3548
"St. Francis (IL)",3741
"St. Francis Brooklyn",3527
"St. John Fisher",198
"St. John's (NY)",3890
"St. Joseph's (L.I.)",3718
"St. Joseph's (ME)",3502
"St. Katherine",3767
"St. Mary's (MD)",3914
"St. Mary's (TX)",3803
"St. Mary-Woods",3489
"St. Thomas (FL)",1662
"St. Thomas (MN)",3565
"St. Thomas (TX)",3747
"St. Xavier",3748
"Stanford",3573
"Stanislaus St.",3855
"Stetson",3203
"Stonehill",3900
"Stony Brook",3759
"Sul Ross St.",3339
"Syracuse",3804
"TCNJ",3503
"TCU",3542
"Tarleton St.",2986
"Temple",3523
"Tenn. Southern",3936
"Tenn. Wesleyan",3506
"Tennessee",3583
"Tennessee St.",3594
"Tennessee Tech",3540
"Tex. A&M-Commerce",3754
"Texas",3200
"Texas A&M",3764
"Texas Lutheran",3037
"Texas Southern",3269
"Texas St.",3805
"Texas Tech",3331
"The Citadel",3922
"Thomas (ME)",2851
"Toccoa Falls",3844
"Toledo",3408
"Towson",3873
"Trevecca Nazarene",3650
"Trinity (TX)",3783
"Trinity Baptist",3824
"Trinity Christian",3872
"Troy",3563
"Truett-McConnell",3504
"Tufts",3689
"Tulane",3804
"Tulsa",3806
"Tusculum",3532
"U New England",3806
"UAB",3827
"UAlbany",3407
"UC Clermont",3656
"UC Davis",3825
"UC Irvine",3743
"UC Merced",3460
"UC Riverside",3342
"UC San Diego",3799
"UC Santa Barbara",3571
"UCF",3516
"UCLA",3767
"UConn",3455
"UIC",3906
"UIW",2907
"UIndy",3525
"ULM",3783
"UMBC",3911
"UMES",3945
"UMass Lowell",3506
"UNC Asheville",3651
"UNC Greensboro",3585
"UNCW",3489
"UNI",3697
"UNLV",3620
"UNT Dallas",3494
"USC Upstate",3799
"UT Arlington",3799
"UT Martin",3504
"UTEP",3379
"UTRGV",3767
"UTSA",3810
"Union (NY)",3395
"Utah",3084
"Utah St.",3752
"Utah Tech",3572
"Utah Valley",3914
"VCU",3583
"VMI",2838
"Va. Wesleyan",3798
"Valley Forge",3814
"Valparaiso",3294
"Vanderbilt",3202
"Vanguard",2573
"Vermont",2655
"Villanova",3905
"Virginia",3811
"Virginia St.",3021
"Virginia Tech",2948
"Virginia-Lynchburg",3725
"Voorhees",3589
"Wabash",3440
"Wagner",3969
"Wake Forest",3606
"Waldorf",3412
"Walla Walla",3808
"Warner Pacific",3532
"Warren Wilson",3599
"Wartburg",3641
"Washington",3584
"Washington Col.",3358
"Washington St.",3568
"Wayne St. (MI)",3802
"Webber Int'l",3179
"Weber St.",3474
"Wells",202
"West Coast Baptist",3250
"West Va. Wesleyan",3865
"West Virginia",3185
"Westcliff",3527
"Western Caro.",3911
"Western Colo.",3458
"Western Ill.",2439
"Western Ky.",3543
"Western Mich.",3900
"Western N.M.",3895
"Western New Eng.",3509
"Western Ore.",3866
"Westminster (PA)",3625
"Westminster (UT)",3869
"Westmont",3545
"Wichita St.",3918
"Wiley",2943
"Wilkes",3795
"William & Mary",3139
"William Carey",3776
"William Jessup",3444
"William Peace",3818
"William Woods",2479
"Williams Baptist",3472
"Wilmington (DE)",215
"Winthrop",3861
"Wis.-Parkside",3007
"Wis.-Stout",2563
"Wisconsin",3910
"Wofford",3682
"Wright St.",3054
"Wyoming",3732
"Xavier",3656
"Yale",3086
"Youngstown St.",3677
